"","标注","旋回顶深","旋回底深","符号","旋回厚度","偏移","累积偏移","旋回数","层位"
"1","L144_0",505.3,519.2,"正旋回",13.9,-0.370999999999967,0.00199999999992428,138,"E"
"2","L144_691",519.2,550.6,"反旋回",31.4,17.129,0.372999999999891,137,"E"
"3","L144_692",550.6,561.6,"反旋回",11,-3.271,-16.7560000000001,136,"E"
"4","正旋回",561.6,575.6,"正旋回",14,-0.271000000000001,-13.4850000000001,135,"E"
"5","L144_693",575.6,584.5,"正旋回",8.89999999999998,-5.37100000000002,-13.2140000000001,134,"E"
"6","L144_694",584.5,600.5,"反旋回",16,1.729,-7.84300000000006,133,"E"
"7","L144_695",600.5,615.1,"正旋回",14.6,0.329000000000022,-9.57200000000006,132,"E"
"8","L144_696",615.1,639.7,"反旋回",24.6,10.329,-9.90100000000008,131,"E"
"9","L144_697",639.7,656.7,"正旋回",17,2.729,-20.2300000000001,130,"E"
"10","L144_698",656.7,666.7,"反旋回",10,-4.271,-22.9590000000001,129,"E"
"11","L144_699",666.7,680,"正旋回",13.3,-0.971000000000046,-18.6880000000001,128,"E"
"12","L144_700",680,699.1,"反旋回",19.1,4.82900000000002,-17.7170000000001,127,"E"
"13","L144_701",699.1,726.3,"正旋回",27.1999999999999,12.9289999999999,-22.5460000000001,126,"E"
"14","L144_702",726.3,745.4,"反旋回",19.1,4.82900000000002,-35.475,125,"E"
"15","L144_703",745.4,768,"正旋回",22.6,8.32900000000002,-40.304,124,"E"
"16","正旋回",768,774,"正旋回",6,-8.271,-48.6330000000001,123,"E"
"17","L144_704",774,786.4,"反旋回",12.4,-1.87100000000002,-40.3620000000001,122,"E"
"18","L144_705",786.4,794.6,"正旋回",8.20000000000005,-6.07099999999996,-38.491,121,"E"
"19","L144_706",794.6,803.9,"反旋回",9.29999999999995,-4.97100000000005,-32.4200000000001,120,"E"
"20","L144_707",803.9,814.4,"正旋回",10.5,-3.771,-27.449,119,"E"
"21","L144_708",814.4,833.2,"反旋回",18.8000000000001,4.52900000000007,-23.678,118,"E"
"22","L144_709",833.2,841.1,"正旋回",7.89999999999998,-6.37100000000002,-28.2070000000001,117,"E"
"23","L144_710",841.1,854,"反旋回",12.9,-1.37100000000002,-21.8360000000001,116,"E"
"24","L144_711",854,866,"正旋回",12,-2.271,-20.465,115,"E"
"25","L144_712",866,891.6,"反旋回",25.6,11.329,-18.194,114,"E"
"26","L144_713",891.6,902.8,"正旋回",11.1999999999999,-3.07100000000007,-29.5230000000001,113,"E"
"27","L144_714",902.8,926.9,"正旋回",24.1,9.82900000000002,-26.452,112,"E"
"28","L144_715",926.9,937.2,"反旋回",10.3000000000001,-3.97099999999993,-36.281,111,"E"
"29","L144_716",937.2,953.7,"正旋回",16.5,2.229,-32.3100000000001,110,"E"
"30","L144_717",953.7,971.3,"反旋回",17.5999999999999,3.32899999999991,-34.5390000000001,109,"E"
"31","L144_718",971.3,994.8,"正旋回",23.5,9.229,-37.868,108,"E"
"32","L144_719",994.8,1009.1,"反旋回",14.3000000000001,0.0290000000000674,-47.097,107,"E"
"33","正旋回",1009.1,1024,"正旋回",14.9,0.628999999999976,-47.1260000000001,106,"E"
"34","L144_720",1024,1039.3,"正旋回",15.3,1.02899999999995,-47.755,105,"E"
"35","L144_721",1039.3,1046.7,"反旋回",7.40000000000009,-6.87099999999991,-48.784,104,"E"
"36","L144_722",1046.7,1061.2,"正旋回",14.5,0.228999999999999,-41.9130000000001,103,"E"
"37","正旋回",1061.2,1071,"正旋回",9.79999999999995,-4.47100000000005,-42.1420000000001,102,"E"
"38","反旋回",1071,1080.3,"反旋回",9.29999999999995,-4.97100000000005,-37.671,101,"E"
"39","正旋回",1080.3,1087.1,"正旋回",6.79999999999995,-7.47100000000005,-32.7,100,"E"
"40","正旋回",1087.1,1097,"正旋回",9.90000000000009,-4.37099999999991,-25.2289999999999,99,"E"
"41","L144_724",1097,1104.8,"正旋回",7.79999999999995,-6.47100000000005,-20.858,98,NA
"42","L144_725",1104.8,1114.3,"反旋回",9.5,-4.771,-14.387,97,"D"
"43","L144_726",1114.3,1131.6,"正旋回",17.3,3.02899999999995,-9.61599999999999,96,"D"
"44","反旋回",1131.6,1147,"反旋回",15.4000000000001,1.12900000000009,-12.6449999999999,95,"D"
"45","L144_727",1147,1158.1,"反旋回",11.0999999999999,-3.17100000000009,-13.774,94,"D"
"46","L144_728",1158.1,1167.8,"正旋回",9.70000000000005,-4.57099999999996,-10.6029999999999,93,"D"
