"","标注","顶深","底深","符号","旋回厚度","砂层厚度","砂地比","旋回数","层位"
"1","L144_0",505.3,519.2,"正旋回",13.9,1.60000000000014,-0.115107913669074,138,"E"
"2","L144_691",519.2,550.6,"反旋回",31.4,0.799999999999955,-0.025477707006368,137,"E"
"3","L144_692",550.6,561.6,"反旋回",11,0,0,136,"E"
"4","正旋回",561.6,575.6,"正旋回",14,1.10000000000002,-0.0785714285714302,135,"E"
"5","L144_693",575.6,584.5,"正旋回",8.89999999999998,0.199999999999932,-0.0224719101123519,134,"E"
"6","L144_694",584.5,600.5,"反旋回",16,0,0,133,"E"
"7","L144_695",600.5,615.1,"正旋回",14.6,1,-0.0684931506849314,132,"E"
"8","L144_696",615.1,639.7,"反旋回",24.6,0,0,131,"E"
"9","L144_697",639.7,656.7,"正旋回",17,6.60000000000002,-0.388235294117648,130,"E"
"10","L144_698",656.7,666.7,"反旋回",10,5.29999999999995,-0.529999999999995,129,"E"
"11","L144_699",666.7,680,"正旋回",13.3,3,-0.225563909774437,128,"E"
"12","L144_700",680,699.1,"反旋回",19.1,5,-0.261780104712042,127,"E"
"13","L144_701",699.1,726.3,"正旋回",27.1999999999999,0,0,126,"E"
"14","L144_702",726.3,745.4,"反旋回",19.1,0,0,125,"E"
"15","L144_703",745.4,768,"正旋回",22.6,0,0,124,"E"
"16","正旋回",768,774,"正旋回",6,0,0,123,"E"
"17","L144_704",774,786.4,"反旋回",12.4,0,0,122,"E"
"18","L144_705",786.4,794.6,"正旋回",8.20000000000005,0,0,121,"E"
"19","L144_706",794.6,803.9,"反旋回",9.29999999999995,0,0,120,"E"
"20","L144_707",803.9,814.4,"正旋回",10.5,0,0,119,"E"
"21","L144_708",814.4,833.2,"反旋回",18.8000000000001,1.5,-0.0797872340425529,118,"E"
"22","L144_709",833.2,841.1,"正旋回",7.89999999999998,0,0,117,"E"
"23","L144_710",841.1,854,"反旋回",12.9,1,-0.0775193798449614,116,"E"
"24","L144_711",854,866,"正旋回",12,0,0,115,"E"
"25","L144_712",866,891.6,"反旋回",25.6,3,-0.1171875,114,"E"
"26","L144_713",891.6,902.8,"正旋回",11.1999999999999,0,0,113,"E"
"27","L144_714",902.8,926.9,"正旋回",24.1,0,0,112,"E"
"28","L144_715",926.9,937.2,"反旋回",10.3000000000001,5.10000000000002,-0.49514563106796,111,"E"
"29","L144_716",937.2,953.7,"正旋回",16.5,0,0,110,"E"
"30","L144_717",953.7,971.3,"反旋回",17.5999999999999,2.5,-0.142045454545455,109,"E"
"31","L144_718",971.3,994.8,"正旋回",23.5,1.5,-0.0638297872340425,108,"E"
"32","L144_719",994.8,1009.1,"反旋回",14.3000000000001,1.20000000000005,-0.0839160839160867,107,"E"
"33","正旋回",1009.1,1024,"正旋回",14.9,2.79999999999995,-0.187919463087246,106,"E"
"34","L144_720",1024,1039.3,"正旋回",15.3,0,0,105,"E"
"35","L144_721",1039.3,1046.7,"反旋回",7.40000000000009,1.59999999999991,-0.216216216216201,104,"E"
"36","L144_722",1046.7,1061.2,"正旋回",14.5,0,0,103,"E"
"37","正旋回",1061.2,1071,"正旋回",9.79999999999995,0,0,102,"E"
"38","反旋回",1071,1080.3,"反旋回",9.29999999999995,0,0,101,"E"
"39","正旋回",1080.3,1087.1,"正旋回",6.79999999999995,0,0,100,"E"
"40","正旋回",1087.1,1097,"正旋回",9.90000000000009,0,0,99,"E"
"41","L144_724",1097,1104.8,"正旋回",7.79999999999995,0.799999999999955,-0.102564102564097,98,NA
"42","L144_725",1104.8,1114.3,"反旋回",9.5,2.20000000000005,-0.231578947368426,97,"D"
"43","L144_726",1114.3,1131.6,"正旋回",17.3,1.09999999999991,-0.0635838150288967,96,"D"
"44","反旋回",1131.6,1147,"反旋回",15.4000000000001,0.900000000000091,-0.058441558441564,95,"D"
"45","L144_727",1147,1158.1,"反旋回",11.0999999999999,0,0,94,"D"
"46","L144_728",1158.1,1167.8,"正旋回",9.70000000000005,0,0,93,"D"
"47","L144_729",1167.8,1184.5,"反旋回",16.7,0,0,92,"D"
"48","L144_730",1184.5,1197.7,"正旋回",13.2,1.20000000000005,-0.090909090909094,91,"D"
"49","反旋回",1197.7,1207.3,"反旋回",9.59999999999991,3.20000000000005,-0.333333333333341,90,"D"
"50","正旋回",1207.3,1212.5,"正旋回",5.20000000000005,0,0,89,"D"
"51","正旋回",1212.5,1232.1,"正旋回",19.5999999999999,0,0,88,"D"
"52","L144_732",1232.1,1255.5,"正旋回",23.4000000000001,3.5,-0.149572649572649,87,"D"
"53","L144_733",1255.5,1279.3,"反旋回",23.8,12,-0.50420168067227,86,"D"
"54","反旋回",1279.3,1287.5,"反旋回",8.20000000000005,2.5,-0.304878048780486,85,"D"
"55","L144_734",1287.5,1305.4,"正旋回",17.9000000000001,3.5,-0.195530726256982,84,"D"
"56","L144_735",1305.4,1324.7,"反旋回",19.3,11.3,-0.585492227979274,83,"D"
"57","L144_736",1324.7,1339,"正旋回",14.3,9.79999999999995,-0.685314685314684,82,"D"
"58","反旋回",1339,1357.5,"反旋回",18.5,11.8,-0.637837837837835,81,"D"
"59","L144_737",1357.5,1379.3,"反旋回",21.8,10.2,-0.467889908256884,80,"D"
"60","L144_738",1379.3,1407.6,"正旋回",28.3,0,0,79,"D"
"61","反旋回",1407.6,1426.8,"反旋回",19.2,4.90000000000009,-0.255208333333337,78,"D"
"62","L144_739",1426.8,1435.1,"反旋回",8.29999999999995,0,0,77,"D"
"63","正旋回",1435.7,1446.6,"正旋回",10.8999999999999,0,0,76,"D"
"64","反旋回",1446.6,1460.9,"反旋回",14.3000000000002,0,0,75,"D"
"65","L144_740",1460.9,1474.8,"正旋回",13.8999999999999,0,0,74,"D"
"66","反旋回",1474.8,1494,"反旋回",19.2,0,0,73,"D"
"67","L144_741",1494,1518.9,"反旋回",24.9000000000001,0,0,72,"D"
"68","L144_742",1518.9,1541.4,"正旋回",22.5,0,0,71,"D"
"69","L144_743",1541.4,1556.4,"正旋回",15,0,0,70,"D"
"70","L144_744",1556.4,1567.6,"反旋回",11.1999999999998,1,-0.0892857142857157,69,"C"
"71","L144_745",1567.6,1581.8,"正旋回",14.2,0,0,68,"C"
"72","正旋回",1581.8,1591.8,"正旋回",10,1.29999999999995,-0.129999999999995,67,"C"
"73","反旋回",1591.8,1612.5,"反旋回",20.7,0,0,66,"C"
"74","正旋回",1612.5,1633.7,"正旋回",21.2,0,0,65,"C"
"75","L144_748",1633.7,1653.7,"正旋回",20,0,0,64,"C"
"76","正旋回",1653.7,1665.4,"正旋回",11.7,0,0,63,"C"
"77","L144_749",1665.4,1674.9,"反旋回",9.5,0,0,62,"C"
"78","L144_750",1674.9,1681.7,"正旋回",6.79999999999995,0,0,61,"C"
"79","L144_751",1681.7,1689.4,"反旋回",7.70000000000005,0,0,60,"C"
"80","反旋回",1689.4,1701.6,"反旋回",12.1999999999998,0,0,59,"C"
"81","正旋回",1701.6,1711.4,"正旋回",9.80000000000018,0,0,58,"C"
"82","反旋回",1711.4,1716.6,"反旋回",5.19999999999982,1.29999999999995,-0.25,57,"C"
"83","正旋回",1716.6,1726.7,"正旋回",10.1000000000001,0,0,56,"C"
"84","L144_754",1726.7,1733.1,"反旋回",6.39999999999986,4,-0.625000000000013,55,"C"
"85","L144_755",1733.1,1741,"正旋回",7.90000000000009,2.59999999999991,-0.329113924050618,54,"C"
"86","L144_756",1741,1748.9,"反旋回",7.90000000000009,4,-0.506329113924045,53,"C"
"87","正旋回",1748.9,1761.3,"正旋回",12.3999999999999,0,0,52,"C"
"88","L144_757",1761.3,1774.4,"正旋回",13.1000000000001,1.40000000000009,-0.106870229007639,51,"C"
"89","L144_758",1774.4,1798.4,"反旋回",24,2.29999999999995,-0.0958333333333314,50,"C"
"90","L144_759",1798.4,1808.6,"正旋回",10.1999999999998,0.599999999999909,-0.0588235294117568,49,"C"
"91","L144_760",1808.6,1819.7,"反旋回",11.1000000000001,3.90000000000009,-0.351351351351355,48,"C"
"92","L144_761",1819.7,1828.5,"正旋回",8.79999999999995,2.5,-0.284090909090911,47,"C"
"93","L144_763",1828.5,1844.3,"正旋回",15.8,2.5,-0.158227848101266,46,"C"
"94","L144_764",1844.3,1858.4,"反旋回",14.1000000000001,3.10000000000014,-0.219858156028376,45,"C"
"95","L144_765",1858.4,1878.6,"反旋回",20.1999999999998,10.5999999999999,-0.524752475247525,44,"C"
"96","正旋回",1878.6,1892.9,"正旋回",14.3000000000002,0,0,43,"C"
"97","正旋回",1892.9,1910.1,"正旋回",17.1999999999998,1.5,-0.0872093023255823,42,"C"
"98","反旋回",1910.1,1932.6,"反旋回",22.5,21.0999999999999,-0.937777777777774,41,"B"
"99","正旋回",1932.6,1941.2,"正旋回",8.60000000000014,0.600000000000136,-0.0697674418604799,40,"B"
"100","L144_767",1941.2,1950.6,"反旋回",9.39999999999986,0,0,39,"B"
"101","L144_768",1950.6,1964.8,"正旋回",14.2,2.29999999999995,-0.161971830985912,38,"B"
"102","L144_769",1964.8,1977.6,"反旋回",12.8,12.3,-0.9609375,37,"B"
"103","L144_770",1977.6,1996.1,"正旋回",18.5,1.70000000000005,-0.0918918918918944,36,"B"
"104","L144_771",1996.1,2008.4,"反旋回",12.3000000000002,5.40000000000009,-0.439024390243903,35,"B"
"105","正旋回",2008.4,2022.7,"正旋回",14.3,2.5,-0.174825174825175,34,"B"
"106","L144_772",2022.7,2036,"正旋回",13.3,3.79999999999995,-0.285714285714283,33,"B"
"107","L144_773",2036,2050.4,"反旋回",14.4000000000001,2.70000000000005,-0.187500000000002,32,"B"
"108","L144_774",2050.4,2065.1,"反旋回",14.6999999999998,6,-0.408163265306128,31,"B"
"109","L144_775",2065.1,2078.4,"正旋回",13.3000000000002,3.40000000000009,-0.255639097744364,30,"B"
"110","L144_776",2078.4,2091.5,"反旋回",13.0999999999999,5.20000000000027,-0.39694656488552,29,"B"
"111","L144_777",2091.5,2103.2,"正旋回",11.6999999999998,3.19999999999982,-0.273504273504262,28,"B"
"112","L144_778",2103.2,2126.4,"反旋回",23.2000000000003,9.60000000000036,-0.413793103448287,27,"B"
"113","L144_780",2126.4,2142,"反旋回",15.5999999999999,10.1000000000004,-0.647435897435925,26,"B"
"114","正旋回",2142,2159.1,"正旋回",17.0999999999999,0.599999999999909,-0.0350877192982405,25,"B"
"115","L144_781",2159.1,2168,"正旋回",8.90000000000009,0.900000000000091,-0.101123595505627,24,"B"
"116","L144_782",2168,2180.5,"反旋回",12.5,5,-0.4,23,"B"
"117","L144_783",2180.5,2199.1,"正旋回",18.5999999999999,4.59999999999991,-0.247311827956986,22,"B"
"118","L144_784",2199.1,2210.8,"正旋回",11.7000000000003,5.20000000000027,-0.444444444444457,21,"B"
"119","正旋回",2210.8,2220,"正旋回",9.19999999999982,0.5,-0.0543478260869576,20,"B"
"120","正旋回",2220,2226.4,"正旋回",6.40000000000009,1.09999999999991,-0.171874999999983,19,"B"
"121","L144_785",2226.4,2237.7,"正旋回",11.2999999999997,6.79999999999973,-0.601769911504415,18,"B"
"122","正旋回",2237.7,2250.6,"正旋回",12.9000000000001,12.9000000000001,-1,17,"B"
"123","正旋回",2250.6,2263.9,"正旋回",13.3000000000002,2.80000000000018,-0.210526315789484,16,"A"
"124","正旋回",2263.9,2279.6,"正旋回",15.6999999999998,3.19999999999982,-0.203821656050946,15,"A"
"125","L144_788",2279.6,2295.4,"反旋回",15.8000000000002,4.90000000000009,-0.310126582278483,14,"A"
"126","反旋回",2295.4,2304.7,"反旋回",9.29999999999973,5.69999999999982,-0.61290322580645,13,"A"
"127","正旋回",2304.7,2318.8,"正旋回",14.1000000000004,6.30000000000018,-0.446808510638299,12,"A"
"128","L144_792",2318.8,2333.5,"正旋回",14.6999999999998,4,-0.272108843537418,11,"A"
"129","L144_794",2333.5,2349.7,"正旋回",16.1999999999998,3.5,-0.216049382716052,10,"A"
"130","L144_795",2349.7,2369.2,"正旋回",19.5,9.80000000000018,-0.502564102564112,9,"A"
"131","正旋回",2369.2,2390,"正旋回",20.8000000000002,3.5,-0.168269230769229,8,"A"
"132","L144_799",2390,2399.5,"正旋回",9.5,3,-0.315789473684211,7,"A"
"133","L144_800",2399.5,2411.2,"正旋回",11.6999999999998,2.5,-0.213675213675217,6,"A"
"134","L144_801",2411.2,2419.8,"反旋回",8.60000000000036,2.5,-0.290697674418592,5,"A"
"135","L144_802",2419.8,2434.8,"反旋回",15,2.19999999999982,-0.146666666666655,4,"A"
"136","L144_803",2434.8,2440.9,"正旋回",6.09999999999991,2.19999999999982,-0.360655737704894,3,"A"
"137","L144_804",2440.9,2454.1,"反旋回",13.1999999999998,4.10000000000036,-0.310606060606092,2,"A"
"138","L144_805",2454.1,2475.3,"正旋回",21.2000000000003,16.8000000000002,-0.792452830188678,1,"A"
