ÑÒ¶¥,ÑÒµ×
516.3,517.2
518.5,520
574.5,575.8
612,613
644,645.6
651,653.8
654.5,662
677,683.3
691.3,693
828,829.5
841.5,842.5
866,867.5
876,877.5
927.5,930.5
931.5,933.6
954.5,957
991,992.5
995,996.2
1019,1021
1022,1022.8
1040,1041.6
1104,1107
1130.5,1132.5
1195.8,1197
1197.8,1201
1252,1266.5
1268,1269
1283,1285.5
1300.7,1302
1303.2,1309.5
1316.6,1323.8
1325,1325.8
1330,1350.8
1359.3,1368
1371.5,1373
1410.6,1415.5
1561,1562
1583.7,1585
1712,1713.3
1727.5,1731.5
1734.5,1735.6
1736.5,1738
1741,1745
1773,1776.7
1808,1812.5
1826,1831
1845,1848
1858.3,1869
1903.5,1905
1911.5,1933.2
1962.5,1974
1974.5,1978
1993,1994
1995.8,2000.5
2003,2004
2014,2016.5
2027,2029.3
2034.5,2038.7
2052.3,2056
2059.7,2062
2075,2081.3
2083.7,2086
2100,2111.5
2115,2116.3
2128,2133.5
2134.5,2136.8
2138.7,2140
2141,2142
2158.5,2159.5
2167.5,2169.5
2171,2174.5
2194.5,2199.5
2206,2211.3
2225.3,2226.5
2231,2252.5
2263,2264.5
2277,2284.5
2298,2302.5
2303.5,2305.2
2313,2322
2332.7,2335
2347.5,2349.5
2357.5,2360
2361.2,2368.5
2372.5,2374.2
2388.2,2391
2397.5,2399.5
2407,2409.5
2412.5,2415
2423,2425.2
2437.8,2440
2442,2443.3
2444,2445
2447.2,2449
2457.5,2460.7
2461.7,2476
2477.7,2478.7
2487.5,2494
2496.5,2497.5
2498.5,2499.3
2500.6,2501.6
2506.7,2507.7
2508.3,2509
2512.5,2514.5
2517,2518.5
2522,2523
2524.5,2527.5
2533.5,2536.7
2538,2540.5
2544.5,2546.5
2557.5,2558.7
2564.5,2566.8
2572,2573.5
2576.5,2578.7
2591,2592.5
2594,2595
2596,2597
2598,2599
2603.8,2607
2608,2610.2
2615,2617.3
2624.3,2627
2628.5,2630
2631,2633
2635,2637
2649,2651
2652,2653
2665,2666.5
2667,2667.7
2673.3,2675
2677,2679.5
2680,2682.8
2689,2690
2690.6,2693.5
2700,2701.6
2739.5,2782
2796,2797
2810,2811
