编号,层位,CDP,双程旅行时间,断距,负双程旅行时间
1,A,5054,1452,0,
2,A,5366,1328,0,
3,A,4868,1402,0,
4,A,4994,1400,0,
5,A,5294,1284,0,
6,A,5462,1184,0,
7,B,5126,1298,0,
8,B,5144,1266,0,
9,B,5192,1210,0,
10,B,5648,906,50,
11,B,5678,878,50,
12,B,5612,878,50,
13,B,5462,1028.31,0,
14,B,5228,1136.31,0,
15,B,5294,1102.31,0,
16,B,5372,1048,0,
17,B,5474,950.34,0,
18,C,5624,810,50,
19,C,5642,794,50,
20,C,5690,764,50,
21,C,5180,1054,0,
22,C,5342,964,0,
23,C,5684,766.74,50,
24,C,5342,914.74,0,
25,C,5120,974.74,0,
26,D,5162,880.74,0,
27,D,5270,866.74,0,
28,D,5366,728.74,0,
29,D,5246,774.74,0,
30,D,4712,838.74,0,
31,D,4724,772.74,0,
32,D,4766,752.74,0,
33,D,5553,692.74,0,
34,D,5654,566.74,50,
35,D,5210,706.74,0,
36,D,5138,702.74,0,
37,E,5240,658.74,0,
38,E,5366,588.74,0,
39,E,5222,620.74,0,
40,E,5630,488.74,50,
41,E,5192,518.74,0,
42,E,5396,430.74,0,
43,E,5156,480.74,0,
